Authors,Year,Article Title,Source Title,Abstract,DOI,Terrestrial/Aquatic,Ecosystem,Location,Study Type,Organism,Mechanism of Shift,Stressor Category,Specific Stressor,Measure,Method,Method Category,Asymmetric Rewiring Result,Habitat Coupling Result (Direction),Total Flux Result (Direction),Result description,Where result appears in paper,Model
LE England and AD Rosemond,2004,Small reductions in forest cover weaken terrestrial-aquatic linkages in headwater streams,Freshwater Biology,"1. We assessed the impacts of deforestation on the energy base of headwater food webs in seven headwater streams in the Upper Chattahoochee basin, GA, U.S.A where percentage forest in catchments ranged from 82 to 96\%. We measured terrestrial organic matter standing crop and determined consumer (crayfish and insectivorous fish) dependence on terrestrial versus aquatic energy sources via gut content and stable isotope analyses. 2. Standing crop of coarse particulate organic matter (CPOM) declined with deforestation at large scales (i.e. catchment deforestation and riparian deforestation at the entire stream network scale). Terrestrial plant matter, the dominant component of crayfish guts, declined in crayfish guts with reductions in CPOM standing crop and with deforestation. 3. Crayfish and insectivorous fish delta(13)C showed enrichment trends with deforestation, indicating isotopic divergence from CPOM, the most C-13-depleted basal resource, with reductions in catchment and riparian forest cover. Crayfish delta(13)C also exhibited enrichment with decreased instream CPOM standing crop. 4. A concentration-dependent mixing model was used to calculate the relative dependence of crayfish and fish on terrestrial versus aquatic basal resources. Results suggested that both allochthonous CPOM and autochthonous production were important basal resources. Consumer dependence on CPOM decreased with reductions in canopy cover. 5. Our data suggest the importance of forest cover to headwater food webs at multiple scales, and that relatively low levels of riparian deforestation along headwater streams can lead to reductions in stream food web dependence on terrestrial subsidies.",10.1111/j.1365-2427.2004.01219.x,Aquatic,Stream,"Upper Chattahoochee basin, Georgia, USA",Spatial,Crayfish (Cambarus sp.),Density,Land conversion,Deforestation,% CPOM derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Authors found that both allochthonous CPOM and autochthonous production were important basal resources for crayfish consumers across all study sites, however, crayfish dependence on CPOM decreased with reductions in canopy cover suggesting decreased coupling of terrestrial and aquatic resources in systems with lower canopy cover. ",Figure 6,Two-source mixing model
"Matsubayashi, Jun and Morimoto, Junko O and Tayasu, Ichiro and Mano, Tsutomu and Nakajima, Miyuki and Takahashi, Osamu and Kobayashi, Kyoko and Nakamura, Futoshi",2015,Major decline in marine and terrestrial animal consumption by brown bears (Ursus arctos),Scientific Reports,"Human activities have had the strongest impacts on natural ecosystems since the last glacial period, including the alteration of interspecific relationships such as food webs. In this paper, we present a historical record of major alterations of trophic structure by revealing millennium-scale dietary shifts of brown bears (Ursus arctos) on the Hokkaido islands, Japan, using carbon, nitrogen, and sulfur stable isotope analysis. Dietary analysis of brown bears revealed that salmon consumption by bears in the eastern region of Hokkaido significantly decreased from 19% to 8%. In addition, consumption of terrestrial animals decreased from 56% to 5% in western region, and 64% to 8% in eastern region. These dietary shifts are likely to have occurred in the last approximately 100-200 years, which coincides with the beginning of modernisation in this region. Our results suggest that human activities have caused an alteration in the trophic structure of brown bears in the Hokkaido islands. This alteration includes a major decline in the marine-terrestrial linkage in eastern region, and a loss of indirect-interactions between bears and wolves, because the interactions potentially enhanced deer predation by brown bears.",10.1038/srep09203,Terrestrial ,Island,"Hokkaido islands, Japan",Temporal,Brown bears (Ursus arctos),Density,Land conversion,Urbanization,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Brown bears have shifted their diets to consume less terrestrial and aquatic animal sources since the onset of human development in the Hokkaido islands. The authors found that there was a significant decrease in the amount salmon consumed (i.e., reduction of aquatically derived resources), however, in the terrestrial compartments, bears have shifted from terrestrial animals to terrestrial plants primarily. ",Figure 3,SIAR
Karolina Stenroth and Lina E. Polvi and Emma Faltstrom and Micael Jonsson,2015,Land-use effects on terrestrial consumers through changed size structure of aquatic insects,Freshwater Biology,"We assessed the influence of agricultural land use on aquatic-terrestrial linkages along streams arising from changes in the emergence of aquatic insects. We expected that terrestrial predators would respond to a change in the abundance and/or the size structure of the emerging aquatic insects by an increase or decrease in population size. We measured the flux of emergent aquatic insects and the abundance of terrestrial invertebrate predators and birds along 10 streams across a forest-to-agriculture land-use gradient. We also performed stable isotope analyses (hydrogen, carbon and nitrogen) of terrestrial invertebrate predators. Small aquatic insects (Nematocera) were most abundant under agricultural land use, whereas larger bodied aquatic insects (Plecoptera and Trichoptera) were more associated with forest land use. Carabid beetles and linyphiid spiders were associated with agricultural streams (where there was a high abundance of small aquatic insects), whereas lycosid spiders and birds were associated with forest streams and a high abundance of large-sized aquatic insects. The contribution of aquatic insects to the diets of riparian Lycosidae, Linyphiidae and Carabidae was estimated to be 44\%, 60\% and 43\%, respectively, indicating the importance of aquatic subsidies to the terrestrial system. Our results show that agricultural land use in an overall forested landscape can have significant effects on the abundance and diet of terrestrial consumers through its impact on the size structure of the assemblage of emerging insects, rather than the overall magnitude (numbers) of the aquatic subsidy. Hence, our results suggest that the composition, not just quantity, of a cross-habitat resource may influence the recipient system.",10.1111/fwb.12476,Terrestrial ,Riparian,Vasterbotten in northern Sweden,Spatial,Lycosidae (wolf spiders),Density,Land conversion,Agriculture,% aquatic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"The PLS model for Carabidae identified litter quantity and quality, PT abundance, agriculture in the buffer zone, terrestrial insect biomass, canopy openness and Nematocera abundance as negatively associated with the proportion of aquatic insects in their diet.  Nematocera abundance, terrestrial insect biomass and agriculture in the buffer zone were positively correlated with the proportion of aquatic insects in the diet of Linyphiidae. The PLS model for Lycosidae identified canopy openness, PT abundance and litter quality as negatively associated with the proportion of aquatic insects in their diet. ",Figure 5b; Figure 6c,"SIAR mixing model; PLS model to determine related variables (Interpretations of the PLS models were based on the explanatory capacity of each component (R2), the weights of predictor variables and the variable influence on projection (VIP). Weights describe the direction and relative strength of the relationship between predictor and dependent variables for each PLS component. VIP summarises the importance of the predictor variables; we defined variables with VIP > 0.7 as significant for the model)"
"Marcelo Magioli, Marcelo Zacharias Moreira, Renata Cristina Batista Fonseca, and Katia Maria Paschoaletto Micchi de Barros Ferraz ",2019,Human-modified landscapes alter mammal resourceand habitat use and trophic structure,Proceedings Of The National Academy Of Sciences Of The United States Of America,"The broad negative consequences of habitat degradation on biodiversity have been studied, but the complex effects of natural and agricultural landscape matrices remain poorly understood.Here we used stable carbon and nitrogen isotopes to detectchanges in mammal resource and habitat use and trophic structure between preserved areas and human-modified landscapes (HMLs)in a biodiversity hot spot in South America. We classified mammalsinto trophic guilds and compared resource use (in terms of C 3- andC4-derived carbon), isotopic niches, and trophic structure acrossthe 2 systems. In HMLs, approximately one-third of individualsfed exclusively on items from the agricultural matrix (C4 ), whilein preserved areas, _68% depended on forest remnant resources(C3). Herbivores, omnivores, and carnivores were the guilds thatmost incorporated C 4 carbon in HMLs. Frugivores maintained thesame resource use between systems (C3 resources), while insecti-vores showed no significant difference. All guilds in HMLs exceptinsectivores presented larger isotopic niches than those in pre-served areas. We observed a complex trophic structure in pre-served areas, with increasing _15N values from herbivores toinsectivores and carnivores, differing from that in HMLs. This dif-ference is partially explained by species loss and turnover andmainly by the behavioral plasticity of resilient species that usenitrogen-enriched food items. We concluded that the landscapecannot be seen as a habitat/nonhabitat dichotomy because theagricultural landscape matrix in HMLs provides mammal habitatand opportunities for food acquisition. Thus, favorable manage-ment of the agricultural matrix and slowing the conversion offorests to agriculture are important for conservation in this region.",10.1073/pnas.1904384116,Terrestrial ,Forest,"Atlantic Forest, state of SÜo Paulo, Brazil",Spatial,"Carnivores: Eira barbara: Tayra, Galictis cuja: Lesser grison, Leopardus guttulus: Southern tiger cat, Leopardus pardalis: Ocelot, Leopardus wiedii: Margay, Puma concolor: Cougar or puma, Puma yagouaroundi: Jaguarundi, Cerdocyon thous: Crab-eating fox, Chrysocyon brachyurus: Maned wolf, Nasua nasua: South American coati, Procyon cancrivorus: Crab-eating raccoon",Density,Land conversion,Deforestation,% C4 derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Authors observed a distinct difference in resource use by carnivores between preserved and human impacted areas. In the preserved areas, most species predominantly fed on C3 resources, showing dependency on the forest remnants and a low contribution of C4 resources. Conversely, in HMLs (highly modified landscapes), ~34.5% of individuals fed exclusively on C4 resources, indicating the intense use of items from the agricultural matrix and few individuals feeding only on C3 resources. Most individual carnivores in HMLs used a mixture of C3/C4 resources (74% were habitat couplers), indicating the use of both the remnants and the matrix as feeding areas. However, in HMLs, a relatively high proportion of carnivores consumed only C4 resources (42.6%) and only 50.9% of carnivore individuals were consuming a mixture of items from the agricultural matrix and remanent forest (i.e., less habitat couplers in HMLs). No species in preserved areas had d13Ccorrected values corresponding to the C4 group.",Figure 2c; Figure 3,Two-source: C3-derived carbon (%) =_13Ccorrected sample__13Cmean C4 vegetation_13Cmean C3 vegetation _ _13Cmean C4 vegetation* 100
"Larson, Rachel N and Brown, Justin L and Karels, Tim and Riley, Seth P D",2020,Effects of urbanization on resource use and individual specialization in coyotes (Canis latrans) in southern California,Plos One,"Urban environments are unique because fragments of natural or semi-natural habitat are embedded within a potentially permeable matrix of human-dominated areas, creating increased landscape and, potentially, habitat heterogeneity. In addition, urban areas can provide diet subsidies for wildlife species in the form of fruiting ornamental plants, trash, and domestic animals. Ecological opportunity in the forms of habitat and food heterogeneity are thought to be important mechanisms in maintaining individual specialization. Identifying which contexts, traits, and mechanisms determine the success or failure of individuals within an urban wildlife population could potentially provide predictions about which populations may succeed in human-dominated landscapes and which may experience local extinction. We used both scat and stable isotope analysis of whiskers to investigate the degree to which coyotes (Canis latrans) utilized anthropogenic subsidies and exhibited individual diet specialization across the urban-rural gradient in southern California. Land use surrounding scat and isotope sample locations was also evaluated to determine the effect of land cover on diet. Human food constituted a significant portion of urban coyote diet (22% of scats, 38% of diet estimated by stable isotope analysis). Domestic cats (Felis catus) and ornamental fruit and seeds were also important items in urban coyote diets. Consumption of anthropogenic items decreased with decreasing urbanization. In suburban areas, seasonality influenced the frequency of occurrence of anthropogenic subsidies with increased consumption in the dry season. The amount of altered open space (areas such as golf courses, cemeteries, and landscaped parks) nearby had a negative effect on the consumption of anthropogenic items in both urban and suburban areas. Contrary to our hypothesis, urban coyotes displayed reduced between-individual variation compared to suburban and rural coyotes. It is possible that the core urban areas of cities are so densely developed and subsidized that wildlife inhabiting these areas actually have reduced ecological opportunity. Suburban animals had the broadest isotopic niches and maintained similar individual specialization to rural coyotes. Wildlife in suburban areas still have access to relatively undisturbed natural areas while being able to take advantage of anthropogenic subsidies in neighboring residential areas. Therefore, areas with intermediate urban development may be associated with increased ecological opportunity and specialization.",10.1371/journal.pone.0228881,Terrestrial ,Shrubland,"Southern California, USA",Spatial,Coyotes (Canis latrans),Density,Land conversion,Urbanization,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"The mean (± SD) proportion of human food in the diet of urban coyotes was 37.6% ± 6.3%, followed by suburban coyotes at 33.8% ± 8.2%, and rural coyotes at 27.3% ± 12.8%. The proportion of domestic cats in the diet decreased as urbanization decreased: 39.5% ± 5.8% of the urban diet, 15.8% ± 7.1% of the suburban diet, and 9.3% ± 6.5% of the rural diet. Figures, the most commonly consumed ornamental plant, increased with decreasing urbanization: Figures constituted 5.6% ± 3.1% of urban diets, 11.7% ± 6.9% of suburban diets, and 25.6% ± 10.4% of rural diets. Native prey items also increased as urbanization decreased. In urban diets, rabbit-gophers constituted 9.0 ± 5.8%, followed by squirrels (8.3% ± 5.2%). In suburban diets, rabbit-gophers accounted for 22.7% ± 14.7%, followed by squirrels (16.0% ± 10.9%). In rural diets, rabbit-gophers accounted for 23.1% ± 16.9%, followed by squirrels (14.7% ± 12.0%). Study area was a significant predictor of carbon isotope enrichment: rural individuals were the least enriched (d13C = 21.6 ± 1.0 SD), followed by suburban individuals (20.2 ± 1.2), and urban individuals were most enriched (18.0 ± 1.7). Human density was a significant negative predictor of nitrogen isotope enrichment.Overall, coyotes consumed a range of resources from multiple habitat types in rural sites, and reduced thier reliance on all other food types aside from domestic cats and human foods in more urbanized sites. ",Figure 4a; Table 3,"simmr, multiple linear regression"
"Champagne, Emily J and Guzzo, Matthew M and Gutgesell, Marie K and McCann, Kevin S",2022,Riparian buffers maintain aquatic trophic structure in agricultural landscapes,Biology Letters,"Local and regional habitat conditions associated with agricultural activity can fundamentally alter aquatic ecosystems. Increased nutrient inputs, channelization and reduced riparian habitat both upstream and locally contribute to the degradation of stream ecosystems and their function. Here, we examine stream food webs in watersheds that feed into Lake Erie to determine the effects of agricultural land cover on major food web energy pathways and trophic structure. Given that higher agricultural intensity can increase nutrient runoff and reduce the riparian zone and litter in-fall into streams, we predicted that generalist fish would derive less energy from the terrestrial pathway and become more omnivorous. Consistent with these predictions, we show that both mean terrestrial energy use and trophic position of the resident top consumer, creek chub (Semotilus atromaculatus), decrease with local agricultural intensity but not with watershed-level agriculture intensity. These findings suggest that local riparian buffers can maintain trophic structure even in the face of high whole-watershed agricultural intensity.",10.1098/rsbl.2021.0598,Aquatic,Stream,"Southern Ontario, Canada",Spatial,Creek chub (Semotilus atromaculatus),Density,Land conversion,Agriculture,% terrestrial derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,"Mean proportion of terrestrial energy use of creek chub decreased with increasing local percentage agriculture within 250 m of stream sites.  For example, at a site surrounded by no agriculture, creek chub on average accumulated 65% of their energy from terrestrial sources, whereas at a site surrounded by 92% agriculture (the maximum for our sites), creek chub used 4% terrestrial energy.","Figure 2a,c",Vander Zanden et al. 2002 two-source mixing model
Eden L. Effert-Fanta and Robert U. Fischer and David H. Wahl,2022,Riparian and watershed land use alters food web structure and shifts basal energy in agricultural streams,Aquatic Sciences,"We examined food web structure in headwater streams to determine whether riparian buffers can mitigate the effects of agricultural land use on stream ecosystem function. Study sites were located in the Midwestern US and divided into three land use groups (forested, buffered, agricultural) based on the amount of riparian forest and row crop agriculture in the watershed. Stable isotope analysis (delta C-13 and delta(15) N) was performed on basal energy sources and consumers (6 invertebrate groups and 7 fish species) with isotopic metrics used to assess variation in food web structure related to land use, instream environmental parameters, and food resources. Land use differences were associated with community-wide isotopic shifts with all trophic diversity metrics greater in forested compared to agricultural streams, whereas buffered streams were generally intermediate. Agricultural streams had compressed food webs with high trophic redundancy indicative of a shared resource pool for all consumers. In contrast, forested and buffered stream food webs showed larger trophic niche area due to greater utilization of detrital energy and higher variability in trophic position among invertebrates and fish. Circular statistics revealed fish communities shifted to lower trophic positions and increased dependence on periphyton production in agricultural streams. The presence of riparian forests was associated with a broader range of resources used by consumers, expanded trophic diversity, and elevated fish trophic position in buffered streams. Results suggest that riparian forests can improve food web structure in streams impacted by croplands and provide further support for restoring buffer areas to moderate adverse effects of agriculture.",10.1007/s00027-022-00895-y,Aquatic,Stream,Midwestern USA,Spatial,"Central stoneroller (Campostoma anomalum), Creek chub (Semotilus atromaculatus), Bluntnose minnow (Pimephales notatus), Bluegill (Lepomis macrochirus),  Green sunfish (Lepomis cyanellus),  Orangethroat darter (Etheostoma spectabile), Largemouth bass (Micropterus salmoides)",Density,Land conversion,Argiculture/deforestation,% allochthonous carbon reliance,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,Fish communities in agricultural streams were more d13C enriched and had a lower trophic position compared to forested and buffered streams. d13C enrichment is indicative of increased reliance on periphyton-derived carbon sources in agricultural streams.,Figure 5; Table 4,Circular statistics (Schmidt el al. 2007) were used to quantify basal energy or trophic shifts in fish stable isotope signatures by assessing directional changes between each land use group and season.
Jeffery Marker and Eva Bergman and Rachel E. Bowes and Denis Lafage,2023,"Small stream predators rely heavily on terrestrial matter energy input in the fall, regardless of riparian buffer size",Food Webs,"Stream ecosystems are reliant on the reciprocal exchange of terrestrial and aquatic energy subsides to maintain a productive and stable food web. Land use around streams can have strong effects on the size and availability of resource subsidies for stream and riparian predators such as fish and spiders. A common forestry technique around streams is the establishment of forested buffers to protect aquatic and riparian ecosystems from upland disturbances. Buffer size may determine prey abundance, richness, and spatial extent of prey reach into both the aquatic and terrestrial systems. To test the effects of forested buffers subsidy direction, we explored the carbon and nitrogen stable isotope signatures of brown trout (Salmo trutta), Tetragnathidae and Lycosidae spiders, and their aquatic and terrestrial prey sources around twelve streams in southern Sweden. For both predator groups, buffer presence showed no effect on resource subsidy source. We found that both brown trout and spiders are significantly reliant on terrestrial sources of prey for their diets in the fall. To support the terrestrial subsidy into small streams it is vital to maintain ecologically functional riparian zones by conserving complex surrounding habitats that optimize habitat and both terrestrial and aquatic prey diversity.",10.1016/j.fooweb.2023.e00302,Aquatic,Stream,Southern Sweden,Spatial,Brown trout (Salmo trutta),Density,Land conversion,Argiculture/deforestation,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,Brown trout increased their reliance on aquatic sources and decreased their reliance on terrestrial sources in forested site relative to unbuffered and buffered sites. P - values are based on confidence intervals provided by the authors in the results section (95% confidence level). ,Figure 5,MixSIAR
"Ossi Keva, Matthew R. D. Cobain, Antti P. Eloranta, Heikki Hmlinen, Mikko Kiljunen, Jos Schilder & Roger I. Jones ",2025,The role of land use in terrestrial support of boreal lake food webs,Nature Communications,"There is growing awareness of the importance of cross-boundary energy and nutrient transfers between adjacent ecosystems. Lake ecosystems receive inputs of terrestrial organic matter that microbes can make available to higher level consumers. However, how environmental drivers influence this terrestrial support of benthic and pelagic consumers at multiple trophic levels remains underexplored. Using hydrogen stable isotopes as a tracer of terrestrial organic matter, we find large variation in terrestrial support of aquatic consumers (i.e., consumer allochthony) among 35 boreal lakes. Of 19 different aquatic organisms, benthic consumers show the highest allochthony. Consumer allochthony decreases along an environmental gradient from forested to agricultural catchments, likely due to shifts in the origin and nature of lake organic matter. Our results demonstrate how cross-ecosystem transfer of organic matter can influence community dynamics in recipient ecosystems, with anthropogenic management of donor terrestrial ecosystems affecting the structure and function of food webs in recipient aquatic ecosystems.
",https://doi.org/10.1038/s41467-025-58505-y,Aquatic,Lake,Southern and central Finland,Spatial,Northern pike (Esox lucius),Density,Land conversion,Agriculture,Proportion of allochthony (d2H isotopes),Stable isotope analysis,Stable Isotope Analysis,Yes,Decrease,NA,Pike showed decreasing allochthony along the environmental gradient from forest lakes with low pH and high DOC towards eutrophic lakes in more agricultural landscapes.,"Fig 3; Supplementary Fig. 6, Supplementary Table 6",MixSIAR
"Anton M. Potapov, Jochen Drescher, Kevin Darras, Arne Wenzel, Noah Janotta, Rizky Nazarreta, Kasmiatun, Valentine Laurent, Amanda Mawan, Endah H. Utari, Melanie M. Pollierer, Katja Rembold, Rahayu Widyastuti, Damayanti Buchori, Purnama Hidayat, Edgar Turner, Ingo Grass, Catrin Westphal, Teja Tscharntke & Stefan Scheu ",2024,"Rainforest transformation reallocates energy from green to brown food webs
",Nature,"Terrestrial animal biodiversity is increasingly being lost because of land-use change1,2. However, functional and energetic consequences aboveground and belowground and across trophic levels in megadiverse tropical ecosystems remain largely unknown. To fill this gap, we assessed changes in energy fluxes across ÔgreenÕ aboveground (canopy arthropods and birds) and ÔbrownÕ belowground (soil arthropods and earthworms) animal food webs in tropical rainforests and plantations in Sumatra, Indonesia. Our results showed that most of the energy in rainforests is channelled to the belowground animal food web. Oil palm and rubber plantations had similar or, in the case of rubber agroforest, higher total animal energy fluxes compared to rainforest but the key energetic nodes were distinctly different: in rainforest more than 90% of the total animal energy flux was channelled by arthropods in soil and canopy, whereas in plantations more than 50% of the energy was allocated to annelids (earthworms). Land-use change led to a consistent decline in multitrophic energy flux aboveground, whereas belowground food webs responded with reduced energy flux to higher trophic levels, down to _90%, and with shifts from slow (fungal) to fast (bacterial) energy channels and from faeces production towards consumption of soil organic matter. This coincides with previously reported soil carbon stock depletion3. Here we show that well-documented animal biodiversity declines with tropical land-use change4,5,6 are associated with vast energetic and functional restructuring in food webs across aboveground and belowground ecosystem compartments.
",https://doi.org/10.1038/s41586-024-07083-y,Terrestrial,Forest,"Jambi province, Sumatra, Indonesia",Spatial,Soil arthropod predators,Density,Land conversion,Deforestation,"Energy flux (kg/ha/year) to soil arthrpod predator guild from bacterial and fungal energy pathways (i.e., ratio of energy derived from the two compartments)",Adapted food-web energetics approach,Energetic modelling,Yes,Increase,Decrease,"Authors found that land-use change from rainforest to plantations consistently altered energy distribution at the base of food webs by reducing total herbivory and fungivory, while increasing bacterivory and soil feeding. Specifically, there was a 3.2- to 4.4-fold increase in bacteria/fungi energy flux ratio across plantation systems. This increase was explained mostly by the high abundance of earthworms in plantations, which can effectively assimilate bacterial carbon from old soil organic matter. However, an almost twofold increase in bacteria/fungi energy flux ratio was also observed in soil arthropod predators in oil palm monocultures. Authors also found that total energy flux to soil arthropod predators was reduced in plantation soils compared to rainforest soils. ",Figure 2; Extended Data Table 1,"Adapted food web energetics model; The flux to each node was calculated from community metabolism accounting for assimilation efficiencies and losses to predation (Barnes et al., 2018; De Ruiter, Van Veen, Moore, Brussaard, & Hunt,1993)"
Hideyuki Doi and Kwang-Hyeon Chang and Takamitsu Ando and Hiroyuki Imai and Shin-ichi Nakano,2010,Shoreline bank construction modifies benthic-pelagic coupling of food webs,ECOLOGICAL ENGINEERING,"Management of the food web is important in maintaining ecosystem functions: however, the studies to assess anthropogenic impact on food web structures are very limited. Recently, shoreline development is considered to impact the littoral zone of lakes through loss of littoral habitats. Shoreline engineering would consequently modify the food web structure and coupling between benthic and pelagic habitats. Thus, we investigated whether lakeshore modification would change benthic-pelagic coupling by large-mouth bass in 15 ponds, which differed in the proportion of concrete bank modification. We performed isotope mixing models to estimate benthic contribution to the fish species and tested the relationships with environmental factors including proportion of bank modification by general linear models. These results showed that the benthic contribution to largemouth bass was strongly related to the proportion of anthropogenic shoreline modification, while for bluegill sunfish, the benthic contribution was not changed with anthropogenic shoreline modification. Therefore, anthropogenic modification of shoreline strongly modified the food webs in ponds through the littoral habitat modification. The results suggested that we should pay attention to the anthropogenic impact on food web structures to maintain ecosystems. (C) 2010 Elsevier B.V. All rights reserved.",10.1016/j.ecoleng.2009.12.017,Aquatic,Pond,"Matsuyama,
Japan",Spatial,Largemouth bass (Micropterus nigricans)),Density,Land conversion,Shoreline development,% benthic derived carbon,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"Authors found that the contribution of benthic resources to largemouth bass was significantly influenced by percentage of concrete bank surrounding study ponds. Forested shorelines had approximately 5% contribution of benthic resources to largemouth bass tissues, whereas shorelines with the most development (greatest % concrete shoreline) had approximately 45% contribution of benthic resources to largemouth bass tissues. 
of concrete bank) +0.04, p < 0.05.",Figure 2a,two source mixing model
"Glaz, Patricia and Sirois, Pascal and Archambault, Philippe and Nozais, Christian",2014,Impact of forest harvesting on trophic structure of eastern Canadian Boreal Shield lakes: insights from stable isotope analyses,Plos One,"Perturbations on ecosystems can have profound immediate effects and can, accordingly, greatly alter the natural community. Land-use such as forestry activities in the Canadian Boreal region have increased in the last decades, raising concerns about their potential impact on aquatic ecosystems. The objective of this study was to evaluate the impact of forest harvesting on trophic structure in eastern Canadian Boreal Shield lakes. We measured carbon and nitrogen stable isotopes values for aquatic primary producers, terrestrial detritus, benthic macroinvertebrates, zooplankton and brook trout (Salvelinus fontinalis) over a three-year period in eight eastern Boreal Shield lakes. Four lakes were studied before, one and two years after forest harvesting (perturbed lakes) and compared with four undisturbed reference lakes (unperturbed lakes) sampled at the same time. Stable isotope mixing models showed leaf-litter to be the main food source for benthic primary consumers in both perturbed and unperturbed lakes, suggesting no logging impact on allochthonous subsidies to the littoral food web. Brook trout derived their food mainly from benthic predatory macroinvertebrates in unperturbed lakes. However, in perturbed lakes one year after harvesting, zooplankton appeared to be the main contributor to brook trout diet. This change in brook trout diet was mitigated two years after harvesting. Size-related diet shift were also observed for brook trout, indicating a diet shift related to size. Our study suggests that carbon from terrestrial habitat may be a significant contribution to the food web of oligotrophic Canadian Boreal Shield lakes. Forest harvesting did not have an impact on the diet of benthic primary consumers. On the other hand, brook trout diet composition was affected by logging with greater zooplankton contribution in perturbed lakes, possibly induced by darker-colored environment in these lakes one year after logging.",10.1371/journal.pone.0096143,Aquatic,Lake,"Mistassibi River drainage basin, Qu_bec Boreal Shield",Spatiotemporal,Brook trout (Salvelinus fontinalis),Density,Land conversion,Forestry,source contribution to diet,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"Study showed leaf-litter to be the main food source for benthic primary consumers in both perturbed and unperturbed lakes, suggesting no logging impact on allochthonous subsidies to the littoral food web. Brook trout derived their food mainly from benthic predatory macroinvertebrates in unperturbed lakes. However, in perturbed lakes one year after harvesting, zooplankton appeared to be the main contributor to brook trout diet. A mixing model performed on each year and treatment confirmed that brook trout derived its carbon biomass mainly from predatory benthic macroinvertebrates in all lakes, except in perturbed lakes in 2009. In 2009, in perturbed lakes, Zooplankton represented a major source of carbon for brook trout, with a mean contribution of 59%, while predatory macroinvertebrates contributed to only 26% to its diet. Zooplankton also appeared to make a contribution to brook trout diet in unperturbed lakes in 2009 and 2010 and in perturbed lakes in 2010 but in all these cases, the contribution of predatory macroinvertebrates was higher than the contribution of zooplankton.",Table 3; Table 4,SIAR
"Manlick, Philip J., and Pauli, Jonathan N.",2020,Human disturbance increases trophic niche overlap in terrestrial carnivore communities,Proceedings Of The National Academy Of Sciences Of The United States Of America,"Animal foraging and competition are defined by the partitioning of three primary niche axes: space, time, and resources. Human disturbance is rapidly altering the spatial and temporal niches of animals, but the impact of humans on resource consumption and partitioningarguably the most important niche axisis poorly understood. We assessed resource consumption and trophic niche partitioning as a function of human disturbance at the individual, population, and community levels using stable isotope analysis of 684 carnivores from seven communities in North America. We detected significant responses to human disturbance at all three levels of biological organization: individual carnivores consumed more human food subsidies in disturbed landscapes, leading to significant increases in trophic niche width and trophic niche overlap among species ranging from mesocarnivores to apex predators. Trophic niche partitioning is the primary mechanism regulating coexistence in many communities, and our results indicate that humans fundamentally alter resource niches and competitive interactions among terrestrial consumers. Among carnivores, niche overlap can trigger interspecific competition and intraguild predation, while the consumption of human foods significantly increases human_carnivore conflict. Our results suggest that human disturbances, especially in the form of food subsidies, may threaten carnivores by increasing the probability of both interspecific competition and human_carnivore conflict. Ultimately, these findings illustrate a potential decoupling of predator_prey dynamics, with impacts likely cascading to populations, communities, and ecosystems.",10.1073/pnas.2012774117,Terrestrial ,Forest,"Great Lakes basin (USA: MN, WI, NY)",Spatial,"Carnivores: gray wolves (C. lupis), coyotes (C. latrans), bobcats (L. rufus), red foxes (V. vulpes), gray foxes (U. cinereoargenteus), fishers (P. pennanti), and American martens
(M. americana).",Density,Land conversion,Urbanization,% human derived resources,Stable isotope analysis,Stable Isotope Analysis,Yes,Increase,NA,"At the individual level, d13C and d15N values increased with human impact for all sampled carnivores, including apex predators like wolves. Additionally, the proportion of human foods in the diet of these carnivores increased with human disturbance, with over 25% of their diet in the most disturbed landscapes consisting of human foods.",Figure 3; Figure 2,MixSIAR
